Quarter,Year,Value,Title,Quarter_Number,sort_id
First Quarter,2025,127726,Number of Hotel Rooms,1,1
First Quarter,2025,25995,Number of Hotel Apartments,1,2
Second Quarter,2025,126905,Number of Hotel Rooms,2,3
Second Quarter,2025,25578,Number of Hotel Apartments,2,4
Third Quarter,2025,126829,Number of Hotel Rooms,3,5
Third Quarter,2025,25513,Number of Hotel Apartments,3,6
Fourth Quarter,2025,129071,Number of Hotel Rooms,4,7
Fourth Quarter,2025,25193,Number of Hotel Apartments,4,8
First Quarter,2024,125584,Number of Hotel Rooms,1,9
First Quarter,2024,26578,Number of Hotel Apartments,1,10
Second Quarter,2024,124799,Number of Hotel Rooms,2,11
Second Quarter,2024,26080,Number of Hotel Apartments,2,12
Third Quarter,2024,125640,Number of Hotel Rooms,3,13
Third Quarter,2024,26408,Number of Hotel Apartments,3,14
Fourth Quarter,2024,127647,Number of Hotel Rooms,4,15
Fourth Quarter,2024,26369,Number of Hotel Apartments,4,16
First Quarter,2023,123232,Number of Hotel Rooms,1,17
First Quarter,2023,25645,Number of Hotel Apartments,1,18
Second Quarter,2023,123176,Number of Hotel Rooms,2,19
Second Quarter,2023,25513,Number of Hotel Apartments,2,20
Third Quarter,2023,122749,Number of Hotel Rooms,3,21
Third Quarter,2023,26060,Number of Hotel Apartments,3,22
Fourth Quarter,2023,123881,Number of Hotel Rooms,4,23
Fourth Quarter,2023,26410,Number of Hotel Apartments,4,24
First Quarter,2022,114536,Number of Hotel Rooms,1,25
First Quarter,2022,25656,Number of Hotel Apartments,1,26
Second Quarter,2022,115111,Number of Hotel Rooms,2,27
Second Quarter,2022,25667,Number of Hotel Apartments,2,28
Third Quarter,2022,116978,Number of Hotel Rooms,3,29
Third Quarter,2022,25804,Number of Hotel Apartments,3,30
Fourth Quarter,2022,120602,Number of Hotel Rooms,4,31
Fourth Quarter,2022,25894,Number of Hotel Apartments,4,32
First Quarter,2021,102945,Number of Hotel Rooms,1,33
First Quarter,2021,24299,Number of Hotel Apartments,1,34
Second Quarter,2021,104568,Number of Hotel Rooms,2,35
Second Quarter,2021,24209,Number of Hotel Apartments,2,36
Third Quarter,2021,108239,Number of Hotel Rooms,3,37
Third Quarter,2021,24629,Number of Hotel Apartments,3,38
Fourth Quarter,2021,112796,Number of Hotel Rooms,4,39
Fourth Quarter,2021,25154,Number of Hotel Apartments,4,40
First Quarter,2020,102076,Number of Hotel Rooms,1,41
First Quarter,2020,25929,Number of Hotel Apartments,1,42
First Quarter,2019,93304,Number of Hotel Rooms,1,43
First Quarter,2019,24735,Number of Hotel Apartments,1,44
Second Quarter,2019,93864,Number of Hotel Rooms,2,45
Second Quarter,2019,24481,Number of Hotel Apartments,2,46
Third Quarter,2019,95253,Number of Hotel Rooms,3,47
Third Quarter,2019,24526,Number of Hotel Apartments,3,48
Fourth Quarter,2019,100744,Number of Hotel Rooms,4,49
Fourth Quarter,2019,25376,Number of Hotel Apartments,4,50
First Quarter,2018,83899,Number of Hotel Rooms,1,51
First Quarter,2018,24908,Number of Hotel Apartments,1,52
Second Quarter,2018,86422,Number of Hotel Rooms,2,53
Second Quarter,2018,24895,Number of Hotel Apartments,2,54
Third Quarter,2018,88090,Number of Hotel Rooms,3,55
Third Quarter,2018,24291,Number of Hotel Apartments,3,56
Fourth Quarter,2018,91085,Number of Hotel Rooms,4,57
Fourth Quarter,2018,24882,Number of Hotel Apartments,4,58
First Quarter,2017,79825,Number of Hotel Rooms,1,59
First Quarter,2017,24678,Number of Hotel Apartments,1,60
Second Quarter,2017,80084,Number of Hotel Rooms,2,61
Second Quarter,2017,24054,Number of Hotel Apartments,2,62
Third Quarter,2017,81781,Number of Hotel Rooms,3,63
Third Quarter,2017,24386,Number of Hotel Apartments,3,64
Fourth Quarter,2017,82733,Number of Hotel Rooms,4,65
Fourth Quarter,2017,24698,Number of Hotel Apartments,4,66
First Quarter,2016,73700,Number of Hotel Rooms,1,67
First Quarter,2016,25249,Number of Hotel Apartments,1,68
Second Quarter,2016,74542,Number of Hotel Rooms,2,69
Second Quarter,2016,25076,Number of Hotel Apartments,2,70
Third Quarter,2016,75165,Number of Hotel Rooms,3,71
Third Quarter,2016,24847,Number of Hotel Apartments,3,72
Fourth Quarter,2016,77879,Number of Hotel Rooms,4,73
Fourth Quarter,2016,24966,Number of Hotel Apartments,4,74
First Quarter,2015,68673,Number of Hotel Rooms,1,75
First Quarter,2015,25535,Number of Hotel Apartments,1,76
Second Quarter,2015,69401,Number of Hotel Rooms,2,77
Second Quarter,2015,25535,Number of Hotel Apartments,2,78
Third Quarter,2015,70056,Number of Hotel Rooms,3,79
Third Quarter,2015,25619,Number of Hotel Apartments,3,80
Fourth Quarter,2015,72473,Number of Hotel Rooms,4,81
Fourth Quarter,2015,25860,Number of Hotel Apartments,4,82
