business_activities,cuisine_name,license_no,licensing_agency,number_of_employees,latitude,longitude
Restaurant,Indian cuisine,770269,Department of Economic Development- Dubai,15,25.24780185399521,55.30048694461584
Cafeteria,Indian cuisine,657495,Department of Economic Development- Dubai,19,25.28829480939323,55.32452384688395
Cafeteria,Indian cuisine,914543,Department of Economic Development- Dubai,3,25.2854671,55.41395
Restaurant,Indian cuisine,578971,Department of Economic Development- Dubai,0,25.249937912049383,55.30422359704971
Pastry Preparing,Not Applicable,772578,Department of Economic Development- Dubai,4,,
Restaurant,Indian cuisine,1401865,Department of Economic Development- Dubai,6,,
Coffee Shop,Not Applicable,1224205,Department of Economic Development- Dubai,6,,
Preparation of Sweets and Candies,Not Applicable,1079500,Department of Economic Development- Dubai,4,25.09325480129364,55.19412476425784
Restaurant,Pakistani cuisine,1484010,Department of Economic Development- Dubai,4,,
Restaurant,Arabic cuisine,752014,Department of Economic Development- Dubai,13,25.082031098263347,55.140389788525454
Vegetable and Fruit Trading,,130418,Department of Economic Development- Dubai,0,25.204929,55.27084
Meat Trading,Not Applicable,678147,Department of Economic Development- Dubai,0,25.2772633,55.3308603
Pastry Trading,Not Applicable,684738,Department of Economic Development- Dubai,24,25.115244130130883,55.19536463470649
Coffee Shop,International cuisine,1139365,Department of Economic Development- Dubai,1,25.22144252492807,55.407657623291016
Coffee Shop,International cuisine,834765,Department of Economic Development- Dubai,6,25.18633758783953,55.27442414601899
Restaurant,Not Applicable,622352,Department of Economic Development- Dubai,1,25.04881063011253,55.59350618867188
Grocery Store,Not Applicable,966124,Department of Economic Development- Dubai,1,25.13097183,55.23893188605928
Restaurant,Indian cuisine,966170,Department of Economic Development- Dubai,17,25.11268159854338,55.20412623882294
Coffee Shop,Not Applicable,997111,Department of Economic Development- Dubai,5,25.07564844563053,55.38414001464844
Restaurant,International cuisine,1113861,Department of Economic Development- Dubai,10,25.205076940511752,55.26881175749119
Coffee Shop,Not Applicable,1313966,Department of Economic Development- Dubai,7,25.26012952687131,55.19525199414056
Malls/SME/Intaleq,Arabic cuisine,233168,Department of Economic Development- Dubai,113,25.20117082544865,55.25379538145264
Restaurant,International cuisine,809203,Department of Economic Development- Dubai,1,25.2576576,55.3026706
Coffee Shop,Not Applicable,883736,Department of Economic Development- Dubai,0,,
