"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Restaurant","Indian cuisine","770269","Department of Economic Development- Dubai","25.247801853995206,55.30048694461584","15.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","620400","Department of Economic Development- Dubai","25.157093951760576,55.30075550079346","1.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Others","221610","Department of Economic Development- Dubai",",","55.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","1100037","Department of Economic Development- Dubai",",","13.00","2026-06-29T16:24:56.000Z"
"Two Star Hotel","Not Applicable","547747","Department of Economic Development- Dubai","25.222859597176992,55.2856707572937","20.00","2026-06-29T16:24:56.000Z"
"Dry Fruits and Vegetables Packaging","Not Applicable","300642","Department of Economic Development- Dubai","25.2285515,55.3766792","37.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","English Cuisine","19236","Department of Economic Development- Dubai","25.098414741587856,55.16358599066746","3.00","2026-06-29T16:24:56.000Z"
"General Trading","","536870","Department of Economic Development- Dubai","25.237218028503012,55.36572408214852","37.00","2026-06-29T16:24:56.000Z"
"Nursery","Not Applicable","716554","Department of Economic Development- Dubai","25.15425294540093,55.221996390699815","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","217213","Department of Economic Development- Dubai",",","7.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","1268269","Department of Economic Development- Dubai","25.292896722636737,55.33534526824951","17.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","689520","Department of Economic Development- Dubai","25.1988821091051,55.27962281761251","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","690557","Department of Economic Development- Dubai","25.204929,55.270840","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","683993","Department of Economic Development- Dubai","25.2679406645094,55.29520853945256","12.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","724428","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","596675","Department of Economic Development- Dubai","25.23588003515722,55.371464440875116","1.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Not Applicable","1070473","Department of Economic Development- Dubai","25.215191680474817,55.362510681152344","7.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Not Applicable","130493","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","526344","Department of Economic Development- Dubai","25.24153295395446,55.30723571728231","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Turkish cuisine","859603","Department of Economic Development- Dubai","25.198933148164375,55.2835852787598","0.00","2026-06-29T16:24:56.000Z"
"Juice and Soft Drinks Shop","Indian cuisine","771899","Department of Economic Development- Dubai","25.2719196,55.4085642","9.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.07502651556338,55.30311584472656","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","849708","Department of Economic Development- Dubai","25.2215296, 55.3254912","26.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.24674774407453,55.34004895677492","60.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","748821","Department of Economic Development- Dubai","25.28991624691084,55.36463418756648","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","201685","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","689520","Department of Economic Development- Dubai","25.176297658189892,55.44375400769387","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","533425","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Pakistani cuisine","905665","Department of Economic Development- Dubai","25.0086227,55.1116072","24.00","2026-06-29T16:24:56.000Z"
"Restaurant","International cuisine","771420","Department of Economic Development- Dubai","25.047149799225245,55.2451186056951","15.00","2026-06-29T16:24:56.000Z"
"Cafeteria","International cuisine","832368","Department of Economic Development- Dubai","25.150616200733005,55.199523066653","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217213","Department of Economic Development- Dubai","25.196864372861896,55.2747917175293","12.00","2026-06-29T16:24:56.000Z"
"Catering to Schools","Not Applicable","1084043","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Philippines Cuisine","617060","Department of Economic Development- Dubai","25.1669165,55.4131036","10.00","2026-06-29T16:24:56.000Z"
