symbol,company_name,sector,sub_industry,headquarters,founded,price,pe_ratio,dividend_yield,eps,week_low_52,week_high_52,market_cap,ebitda,price_to_sales,price_to_book
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1902,156.58,30.169558,0.0198,5.19,139.34,177.41,81667006464.0,6240000000.0,3.2635472,25.028772
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",1916,60.87,15.89295,0.0239,3.83,54.16,81.87,8389628416.0,795299968.0,2.2009046,4.4675226
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1888,88.96,24.918768,0.0274,3.57,81.97,137.49,154951696384.0,11744000000.0,3.433148,2.9763458
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2013 (1888),244.78,120.58128,0.0279,2.03,184.63,261.64,432475537408.0,29915000832.0,6.8844705,-64.98009
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989,134.56,11.065789,0.0471,12.16,118.15,291.09,82342928384.0,12943767552.0,1.1264331,2.581685
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1982,220.78,13.188769,,17.48,190.12,376.16,87760052224.0,9729000448.0,3.4828181,7.6481795
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",1969,548.13,178.54398,,3.07,149.22,584.73,893781082112.0,7430000128.0,23.863434,13.860217
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981,14.8,7.668394,0.0477,1.93,12.33,17.65,10554733568.0,3755000064.0,0.84525776,2.3878672
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1955,122.05,13.948572,0.0198,8.75,96.95,124.0,62121607168.0,5880000000.0,3.4298592,2.0797124
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1999,135.2,27.094189,0.0076,4.99,108.35,160.27,38184796160.0,2015000064.0,5.2799773,5.3574257
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",1940,299.4,31.58228,0.024,9.48,229.11,314.87,66670596096.0,3877600000.0,5.349096,4.2601023
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2008,146.54,36.093594,,4.06,110.81,150.19,86972203008.0,2619000064.0,6.876904,11.418108
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998,126.11,42.46128,,2.97,69.78,165.45,18334560256.0,1146972032.0,4.2971835,3.7392514
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994,128.75,,0.0129,-3.5,64.95,221.0,15184086016.0,1067513984.0,2.7634647,1.9931266
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1994,47.5,,0.0599,-6.19,39.41,88.24,8277799936.0,1860583936.0,2.825044,0.5153688
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",1997,178.46,30.402046,,5.87,122.0,208.31,12780972032.0,880812992.0,3.120515,3.080136
